CNAE,TOTAL
"0121101","133"
"0159801","232"
"0159802","908"
"0161002","465"
"0161003","2988"
"0162802","17"
"0321304","40"
"0322104","162"
"0892401","11"
"1013901","503"
"1031700","443"
"1032599","149"
"1033301","163"
"1033302","236"
"1052000","461"
"1061902","9"
"1063500","50"
"1064300","16"
"1065101","31"
"1069400","26"
"1071600","20"
"1091101","5215"
"1091102","24420"
"1092900","543"
"1093701","1238"
"1093702","211"
"1094500","2873"
"1095300","241"
"1096100","4695"
"1099601","15"
"1099604","283"
"1099605","60"
"1099699","52"
"1122403","30"
"1220499","8"
"1311100","8"
"1312000","7"
"1321900","13"
"1322700","36"
"1340501","1633"
"1340599","1933"
"1351100","285"
"1352900","150"
"1353700","10"
"1359600","4703"
"1411801","978"
"1411802","1042"
"1412601","11921"
"1412602","11700"
"1412603","2576"
"1413403","653"
"1414200","119"
"1421500","2"
"1422300","1175"
"1510600","3"
"1521100","655"
"1529700","542"
"1531901","53"
"1531902","653"
"1539400","217"
"1540800","29"
"1622699","2367"
"1623400","68"
"1629301","2289"
"1629302","432"
"1721400","46"
"1731100","176"
"1732000","120"
"1742799","9"
"1749400","3097"
"1813001","1518"
"1813099","1591"
"1821100","2640"
"1822901","430"
"1822999","1"
"2219600","442"
"2229399","406"
"2319200","196"
"2330399","1239"
"2342702","60"
"2349499","1034"
"2391501","52"
"2391503","1043"
"2399101","388"
"2512800","1213"
"2532201","223"
"2539001","3567"
"2539002","74"
"2541100","29"
"2542000","10256"
"2543800","239"
"2599301","1556"
"2599399","529"
"2740602","78"
"2950600","407"
"3101200","9626"
"3102100","76"
"3103900","309"
"3104700","47"
"3211601","46"
"3211602","329"
"3211603","5"
"3212400","6357"
"3220500","112"
"3230200","93"
"3240099","305"
"3291400","190"
"3292202","86"
"3299001","10"
"3299002","96"
"3299003","761"
"3299004","308"
"3299005","104"
"3299006","471"
"3299099","12596"
"3311200","307"
"3312103","1"
"3313901","640"
"3313902","35"
"3313999","452"
"3314701","120"
"3314702","676"
"3314706","270"
"3314707","3434"
"3314708","1"
"3314709","61"
"3314710","443"
"3314711","144"
"3314712","30"
"3314719","246"
"3314720","180"
"3314799","171"
"3317102","667"
"3319800","518"
"3321000","2517"
"3329501","4047"
"3600602","221"
"3702900","190"
"3811400","1001"
"3831901","699"
"3831999","555"
"3832700","691"
"3839499","436"
"4110700","1"
"4120400","3"
"4221905","1"
"4299599","1"
"4313400","1"
"4321500","28392"
"4322301","4290"
"4322302","10338"
"4322303","546"
"4329101","742"
"4329102","172"
"4329103","317"
"4329104","299"
"4329105","311"
"4330401","1"
"4330402","1337"
"4330403","4294"
"4330404","18330"
"4330405","3087"
"4330499","3620"
"4399101","2"
"4399103","70543"
"4399104","1"
"4399105","203"
"4399199","602"
"4511102","1"
"4520001","17056"
"4520002","6927"
"4520003","2703"
"4520005","6209"
"4520006","3026"
"4520007","3718"
"4520008","617"
"4530703","5884"
"4530704","1379"
"4530705","188"
"4530706","1"
"4541206","2706"
"4541207","276"
"4543900","3045"
"4618402","1"
"4618499","1"
"4619200","1"
"4623109","1"
"4632003","1"
"4639701","1"
"4649499","1"
"4669999","1"
"4712100","20977"
"4713002","3914"
"4721102","6815"
"4721103","5496"
"4721104","2330"
"4722901","3054"
"4722902","2083"
"4723700","29324"
"4724500","11071"
"4729601","1009"
"4729602","1"
"4729699","12308"
"4732600","292"
"4741500","380"
"4742300","1137"
"4743100","1251"
"4744001","1553"
"4744002","451"
"4744003","391"
"4744004","999"
"4744005","1"
"4744099","11669"
"4751201","7278"
"4751202","208"
"4752100","6200"
"4753900","2618"
"4754701","2983"
"4754702","745"
"4754703","431"
"4755501","516"
"4755502","11352"
"4755503","5973"
"4756300","399"
"4757100","2327"
"4759801","976"
"4759899","2366"
"4761001","880"
"4761002","1335"
"4761003","2269"
"4762800","309"
"4763601","1934"
"4763602","2369"
"4763603","1661"
"4763604","611"
"4772500","17935"
"4773300","1570"
"4774100","2827"
"4781400","82186"
"4782201","3029"
"4782202","369"
"4783101","3933"
"4783102","779"
"4785701","381"
"4785799","2315"
"4789001","6570"
"4789002","2127"
"4789003","965"
"4789004","9579"
"4789005","4060"
"4789007","963"
"4789008","1057"
"4789099","11536"
"4923001","10143"
"4923002","4"
"4924800","3575"
"4929901","10956"
"4929902","4275"
"4929903","279"
"4930201","48622"
"4930202","12588"
"4930203","242"
"4930204","3498"
"5011401","137"
"5021101","165"
"5091201","154"
"5091202","76"
"5099801","1120"
"5099899","618"
"5211702","459"
"5212500","4471"
"5223100","1227"
"5229002","2017"
"5229099","46782"
"5310502","493"
"5320201","25049"
"5320202","35036"
"5510801","1"
"5590601","296"
"5590602","102"
"5590603","2502"
"5590699","3121"
"5611201","37059"
"5611203","44357"
"5611204","13836"
"5611205","6875"
"5612100","33781"
"5620101","6729"
"5620102","7069"
"5620103","1416"
"5620104","70653"
"5811500","3048"
"5812300","10"
"5812301","1972"
"5812302","1568"
"5813100","1633"
"5819100","10220"
"5911199","3"
"5912001","557"
"5912099","11931"
"6190699","2967"
"6201501","4"
"6202300","1"
"6204000","4"
"6209100","3"
"6399200","1103"
"6619302","1"
"6619399","1"
"6622300","3"
"6630400","1"
"6821801","1"
"6920601","4"
"7020400","2"
"7111100","1"
